updatedAt,author,content,createdAt,geo,id,license,lifespan,publishedAt,remoteID,source,summary,tags,updatedAt,formattedAddress,addressComponents,tag_0,tag_1,tag_2
2014-08-10 17:10:49.169050,"{'name': 'LERN', 'remoteID': '0001'}","On July 16 2014, the Health Minister, DR. Gwenigale along with the Chief Medical Officer of the R/L, Dr. Bernice Dahn including the Junior Senator of Lofa County visited the county to reinforce the awareness program on the dirty ebola virus throughout the country. In so doing, the team is expected to visit six districts in Lofa County including Foya District.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.169038,"{'addressComponents': {'formattedAddress': 'Voinjama City, Lofa County'}}",HnkhCrgYTuqQyP6gKO3DPw,unknown,temporary,2014-07-16T08:27:00,0001-17645,ushahidi_v2,Top Executives of the Ministry of Health Visit Lofa County on Ebola Awareness,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-10 17:10:49.169050,"Voinjama City, Lofa County","{'formattedAddress': 'Voinjama City, Lofa County'}",Disease Outbreak,Lofa,
2014-08-10 17:10:49.259602,"{'name': 'LERN', 'remoteID': '0001'}","On July 10, 2014 in Bolonquidu Town, Quardu Gboni District, Lofa County, some health workers from Voinjama that had gone to Bolonquidu to carry out Ebola awareness campaign were attacked by the locals. An Imam from the town stated clearly that they don't want anyone carrying out ebola awareness in their area. Some locals are refusing to go to medical centers for treatment. Local authority of the district have been informed to intervene in order to avoid conflict and the wide spread of the deadly disease.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.259590,"{'addressComponents': {'formattedAddress': 'Quardu Gboni District, Lofa county'}}",wtzkfXXLTtCSrMBGQAzsoA,unknown,temporary,2014-07-10T07:51:00,0001-17644,ushahidi_v2,"Health Workers Attacked in Bolonquidu Town, Quardu Gboni District","[{'confidence': 1, 'name': 'Lofa'}, {'confidence': 1, 'name': 'Mob violence'}]",2014-08-10 17:10:49.259602,"Quardu Gboni District, Lofa county","{'formattedAddress': 'Quardu Gboni District, Lofa county'}",Lofa,Mob violence,
2014-08-10 17:10:49.280512,"{'name': 'LERN', 'remoteID': '0001'}","An 11 years old girl by the name of Abigil died of suspected Ebola virus in New Matadi, Sinkor, Monrovia.  This happened at 5pm on Wednesday July 9, 2014 at S.D. Cooper Hospital on 12 Street, Monrovia.

According to her relatives, she has had fever since last Sunday and was given treatment at home but the fever did not subside, rather it escalated into diarrhea (violating and stomach running). Subsequently, her parents took her to the JKF Hospital, but health workers at the hospital denied her examination and treatment for fear of contracting Ebola virus from the patient.

Abigil’s parents further took her to the S.D. Cooper Hospital where a doctor diagnosed her of fluid and blood shortages and later announced her dead in spite of efforts made to save her life.
- - - 
This report was forwarded from WANEP where it was categorized under the following: 
Montserrado, Natural disasters",2014-08-10T17:10:49.280494,"{'addressComponents': {'formattedAddress': 'Matadi, Monrovia, Liberia'}}",V2O96OJSQziVtgCMUosg1g,unknown,temporary,2014-07-09T13:27:00,0001-17631,ushahidi_v2,A Girl Died of Suspected Ebola Virus! (Reported to:  WANEP),"[{'confidence': 1, 'name': 'Discrimination'}, {'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Montserrado'}]",2014-08-10 17:10:49.280512,"Matadi, Monrovia, Liberia","{'formattedAddress': 'Matadi, Monrovia, Liberia'}",Discrimination,Disease Outbreak,Montserrado
2014-08-10 17:10:49.370964,"{'name': 'LERN', 'remoteID': '0001'}","Reports coming in from Fuahmah District, Bong County indicate that the Chinese workers of China Union on July 8, 2014 downsized all black female workers who served as cooks and caretakers. The reason the company gave for the downsizing is due to their fear of the Ebola virus that it might be spread amongst them if care is not taken, as it was reported. They ladies have been banned from entering the premises. This move by the Chinese have sprouted up serious tension in Bong Mines.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.370946,"{'addressComponents': {'formattedAddress': 'Fuamah District , Bong County'}}",spaJY-cpRx-Jjh2F8rC23A,unknown,temporary,2014-07-08T07:10:00,0001-17648,ushahidi_v2,China Union Downsized Black Female Cooks and Caretakers due to the Fear of Ebola in Fuamah District,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Bong'}]",2014-08-10 17:10:49.370964,"Fuamah District , Bong County","{'formattedAddress': 'Fuamah District , Bong County'}",Disease Outbreak,Bong,
2014-08-10 17:10:49.511543,"{'name': 'LERN', 'remoteID': '0001'}","IT WAS REPORTED THAT THREE SUSPECTED EBOLA CASES WERE DETECTED ON JUNE 22, 2014 AT CURRAN HOSPITAL IN ZORZOR, LOFA COUNTY. THE INFECTED PERSONS HAVE BEEN SENT TO FOYA FOR FURTHER TEST.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.511531,"{'addressComponents': {'formattedAddress': 'ZORZOR, LOFA COUNTY'}}",pHUvm900RA6rOPfLtBoang,unknown,temporary,2014-06-22T07:11:00,0001-17626,ushahidi_v2,MORE EBOLA CASES DETECTED IN ZORZOR,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-10 17:10:49.511543,"ZORZOR, LOFA COUNTY","{'formattedAddress': 'ZORZOR, LOFA COUNTY'}",Disease Outbreak,Lofa,
2014-08-10 17:10:49.670397,"{'name': 'LERN', 'remoteID': '0001'}","June 11, 2014. Credible reports coming from Foyah, Lofa County indicate that suspected Ebola affected patients are arriving from neighboring Sierra Leone into Foyah City, Lofa County for treatment. It is also reported that Five Liberians have contracted the virus and Two of whom are now dead.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.670379,"{'addressComponents': {'formattedAddress': 'Foyah Destrict, Lofa County'}}",YhShvkOtTOCdq9QmsH7tww,unknown,temporary,2014-06-11T11:11:00,0001-17621,ushahidi_v2,Ebola Reported in Foyah as Suspected Victims Arrive from Sierra Leone,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-10 17:10:49.670397,"Foyah Destrict, Lofa County","{'formattedAddress': 'Foyah Destrict, Lofa County'}",Disease Outbreak,Lofa,
2014-08-10 17:10:49.686322,"{'name': 'LERN', 'remoteID': '0001'}","Reports coming in from Lofa county say Ebola virus has resurfaced in Foya and one person has allegedly died from the virus. Some people suspected of having the virus are being screened.
- - - 
This report was forwarded from Peace Building Office",2014-08-10T17:10:49.686310,"{'addressComponents': {'formattedAddress': 'Foyah Destrict, Lofa County'}}",EiLNWbIxSreiFqWbgHIHYw,unknown,temporary,2014-06-11T09:00:00,0001-17612,ushahidi_v2,"Ebola Resurfaces In Foya, Lofa County- Kills One Person","[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-10 17:10:49.686322,"Foyah Destrict, Lofa County","{'formattedAddress': 'Foyah Destrict, Lofa County'}",Disease Outbreak,Lofa,
2014-08-07 03:42:54.683856,"{'name': 'LERN', 'remoteID': '0001'}","Sarkonedu Town,Quardu Gboni District, 10/4/2014 at 8:02am.  Six (6) Liberians national who lived in Nzelekore, Guinea as refugees for over 25 years since the beginning of the Civil War in Liberia, yesterday afternoon arrived in Sarkonedu Town at the result of fear of the suspected virus of  ebola. The Immigration Officers inspected their various vaccination cards issued them by the Guinean Health Authority and allowed them entry.
- - - 
This report was forwarded from Peace Building Office",2014-08-07T03:42:54.683843,"{'addressComponents': {'formattedAddress': 'Sarkonedu Town, Quardu Gboni District, Lofa County'}}",iKkPIxAWSjessgV1yK_uOA,unknown,temporary,2014-04-10T10:06:00,0001-17550,ushahidi_v2,Liberians Returned Home for Fear of Ebola in Guinea,"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Lofa'}]",2014-08-07 03:42:54.683856,"Sarkonedu Town, Quardu Gboni District, Lofa County","{'formattedAddress': 'Sarkonedu Town, Quardu Gboni District, Lofa County'}",Disease Outbreak,Lofa,
2014-08-07 03:42:54.823695,"{'name': 'LERN', 'remoteID': '0001'}","On April 2, 2014, UNMIL Radio report at 1:00pm revealed that two patients were suspected of Ebola virus in Ganta and Tappita, Nimba County respectively. Notwithstanding, the patients needed to undergo medical examination to confirm the virus.
- - - 
This report was forwarded from WANEP where it was categorized under the following: 
Natural disasters",2014-08-07T03:42:54.823684,"{'addressComponents': {'formattedAddress': 'Ganta, Liberia'}}",J6F86q_VSV2tAeEuhm2duQ,unknown,temporary,2014-04-03T10:45:00,0001-17548,ushahidi_v2,Ebola Cases Suspected - Nimba (Reported to:  WANEP),"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Nimba'}]",2014-08-07 03:42:54.823695,"Ganta, Liberia","{'formattedAddress': 'Ganta, Liberia'}",Disease Outbreak,Nimba,
2014-08-07 03:42:54.861222,"{'name': 'LERN', 'remoteID': '0001'}","As the Government of Liberia and some of its international partners contemplate on mechanisms  to control the spread of the ""Ebola virus"" across the country, Maryland County Senator John Ballout (April 1, 2014) proposed a state of emergency which would  cause  borders with Liberia to be closed thereby preventing  further transfer of the virus
into the country.

According to The News (a newspaper), the Senate Health Committee Chairman Peter Coleman said he does not support state of emergency that would lead to the closure of various borders with Liberia.  Senator Coleman argued that the prevailing Ebola virus situation in Liberia does not warrant a state of emergency, noting that Liberia is a part of a region where collective heath, commence and security are linked in the Mano River region and in the ECOWAS region. Hence, the closure of borders would create more problems for the country than good because people suspected of having the virus will take advantage of illegal entries to enter the country.
- - - 
This report was forwarded from WANEP where it was categorized under the following: 
Montserrado, Natural disasters, Political issues",2014-08-07T03:42:54.861205,"{'addressComponents': {'formattedAddress': 'Monrovia, Liberia'}}",lPO9jGJmSniTBCU7EQN7KQ,unknown,temporary,2014-04-01T16:38:00,0001-15199,ushahidi_v2,Liberia Seneator Suggests State of Emergency! (Reported to:  WANEP),"[{'confidence': 1, 'name': 'Disease Outbreak'}, {'confidence': 1, 'name': 'Montserrado'}]",2014-08-07 03:42:54.861222,"Monrovia, Liberia","{'formattedAddress': 'Monrovia, Liberia'}",Disease Outbreak,Montserrado,
