updatedAt,content,createdAt,entities,geo,id,language,license,lifespan,publishedAt,remoteID,source,summary,tags,updatedAt,adminArea1,adminArea3,adminArea4,adminArea5,formattedAddress,postalCode,streetAddress,addressComponents,coords,latitude,longitude,tag1,tag2,tag3,lang
2014-05-09 19:32:50.540124,"I saw this in the sky a few weeks ago.  It was right after it snowed, because I'd taken my son outside to play, and it was sunny.  However, the sun was soon masked by these...odd plumes.",2014-05-04T06:03:43.502269,,"{'addressComponents': {'formattedAddress': 'Holland, Pennsylvania'}, 'coords': [-60.205078, 44.024422]}",8q5OZmwhTDyHwNCyKFIGLw,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-11T02:33:00.000Z,50423-482,ushahidi,"Holland, Pennsylvania","[{'name': 'Chemtrails', 'confidence': 1}]",2014-05-09 19:32:50.540124,,,,,"Holland, Pennsylvania",,,"{'formattedAddress': 'Holland, Pennsylvania'}","[-60.205078, 44.024422]",44.024422,-60.205078,Chemtrails,,,en
2014-05-09 19:09:11.715448,"just so happens that the three times I forgot my lunch this semester, Fisher College folks just happened to offer me a free lunch (leftovers, receptions). Not only that, one was vegan, and two were vegetarian. Thanks Fisher! You've got my back. (Or my belly, as the case may be.)",2014-05-04T05:05:21.976079,,"{'addressComponents': {'adminArea3': 'MA', 'adminArea1': 'United States', 'adminArea4': 'Worcester Co.', 'adminArea5': 'Fitchburg', 'streetAddress': '66 Boulder Dr', 'postalCode': '01420', 'formattedAddress': '66 Boulder Dr, Fitchburg, MA 01420'}, 'coords': [-71.798129, 42.582034]}",pOTXDTmbQZG2LoAn0-Jbrg,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-10T18:23:00.000Z,22736-4033,ushahidi,free lunch,"[{'name': 'Random Acts of Kindness', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}, {'name': 'Thank You!', 'confidence': 1}]",2014-05-09 19:09:11.715448,United States,MA,Worcester Co.,Fitchburg,"66 Boulder Dr, Fitchburg, MA 01420",01420,66 Boulder Dr,"{'adminArea3': 'MA', 'adminArea1': 'United States', 'adminArea4': 'Worcester Co.', 'adminArea5': 'Fitchburg', 'streetAddress': '66 Boulder Dr', 'postalCode': '01420', 'formattedAddress': '66 Boulder Dr, Fitchburg, MA 01420'}","[-71.798129, 42.582034]",42.582034,-71.798129,Random Acts of Kindness,Grateful!,Thank You!,en
2014-05-09 19:33:30.498682,"Two snowmobilers were caught in a very large avalanche near Kebler Pass, west of Crested Butte, that left one of them dead and one partially buried.
The avalanche occurred on a south-facing slope below the treeline, according to the Colorado Avalanche Information Center.
Estimates of the avalanche dimensions are 500 to 600 feet wide, and 3.2 feet deep, involving recent storm snow.
Officials say the avalanche was large relative to the path, and capable of burying a car or breaking a few trees.",2014-05-04T06:18:43.129832,,"{'addressComponents': {'adminArea3': 'CO', 'adminArea1': 'United States', 'adminArea4': 'Gunnison Co.', 'adminArea5': 'Somerset', 'streetAddress': '7478 NF-12', 'postalCode': '81434', 'formattedAddress': '7478 NF-12, Somerset, CO 81434'}, 'coords': [-107.100326, 38.849715]}",U8VXYZy8ROq60K6Rqvq_vA,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-10T12:00:00.000Z,30147-506,ushahidi,Avalanche near Crested Butte: one snowmobiler dead,"[{'name': 'DANGER CONSIDERABLE', 'confidence': 1}]",2014-05-09 19:33:30.498682,United States,CO,Gunnison Co.,Somerset,"7478 NF-12, Somerset, CO 81434",81434,7478 NF-12,"{'adminArea3': 'CO', 'adminArea1': 'United States', 'adminArea4': 'Gunnison Co.', 'adminArea5': 'Somerset', 'streetAddress': '7478 NF-12', 'postalCode': '81434', 'formattedAddress': '7478 NF-12, Somerset, CO 81434'}","[-107.100326, 38.849715]",38.849715,-107.100326,DANGER CONSIDERABLE,,,en
2014-05-09 19:32:50.038829,"Sensitive Areas of Intrest.  The National Security Agency routinely shares raw intelligence data with Israel without first sifting it to remove information about US citizens, a top-secret document provided to the Guardian by whistleblower Edward Snowden reveals.

Details of the intelligence-sharing agreement are laid out in a memorandum of understanding between the NSA and its Israeli counterpart that shows the US government handed over intercepted communications likely to contain phone calls and emails of American citizens. The agreement places no legally binding limits on the use of the data by the Israelis.

source: NSA shares raw intelligence including Americans' data with Israel • The Guardian
Some foreign (and domestic —Ed.) observers regard any U.S. surveillance efforts with suspicion, fearing that intelligence products will be used against their national interests, the privacy rights of their citizens, or to advance the interests of U.S. firms in competition for international business. This view is held even though it is well-known that many countries have long undertaken similar efforts. Nonetheless, some argue that electronic surveillance, except in a narrow, court-approved, law enforcement context, should not be undertaken by democratic governments.
source: CRS Report for Congress Project Echelon: U.S. Electronic Surveillance Efforts",2014-05-04T06:03:48.064008,,"{'addressComponents': {'adminArea3': 'NC', 'adminArea1': 'United States', 'adminArea4': 'Ashe Co.', 'adminArea5': 'Crumpler', 'streetAddress': '114 Baker Dr', 'postalCode': '28617', 'formattedAddress': '114 Baker Dr, Crumpler, NC 28617'}, 'coords': [-81.394267, 36.504014]}",Q1vnEAo0TEuHYXVwIFd3lw,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-10T04:41:00.000Z,50423-481,ushahidi,Important Locations,"[{'name': 'Climate Change', 'confidence': 1}, {'name': 'Weather', 'confidence': 1}, {'name': 'Brutality', 'confidence': 1}, {'name': 'Corruption', 'confidence': 1}, {'name': 'Privacy Violator', 'confidence': 1}, {'name': 'Drones', 'confidence': 1}, {'name': 'Bioweapons', 'confidence': 1}, {'name': 'Chemtrails', 'confidence': 1}, {'name': 'Directed Energy', 'confidence': 1}, {'name': 'Ionospheric Heaters', 'confidence': 1}, {'name': 'Radar', 'confidence': 1}, {'name': 'News', 'confidence': 1}, {'name': 'Mind Control', 'confidence': 1}, {'name': 'Geoengineering', 'confidence': 1}, {'name': 'Weather Modification', 'confidence': 1}]",2014-05-09 19:32:50.038829,United States,NC,Ashe Co.,Crumpler,"114 Baker Dr, Crumpler, NC 28617",28617,114 Baker Dr,"{'adminArea3': 'NC', 'adminArea1': 'United States', 'adminArea4': 'Ashe Co.', 'adminArea5': 'Crumpler', 'streetAddress': '114 Baker Dr', 'postalCode': '28617', 'formattedAddress': '114 Baker Dr, Crumpler, NC 28617'}","[-81.394267, 36.504014]",36.504014,-81.394267,Climate Change,Weather,Brutality,en
2014-05-09 19:29:22.517101,"Since the Humber is a designated Heritage River and is due to be crossed by Line #9 (carrying Alberta tar sands oil product) it is essential to have it included in the Navigable Waters Act from which it was removed by Bill C-45 in Oct 2012. 

Go to Peggy Nash's website below to sign the petition. 

The Humber is a perfect river to explore by canoe in summer or skis in winter with its marshlands and hidden lagoons full of shorebirds, muskrat, beaver and other wildlife. Truly an urban treasure.",2014-05-04T05:33:38.391678,,"{'addressComponents': {'adminArea3': 'ON', 'adminArea1': 'Canada', 'adminArea4': 'Toronto', 'adminArea5': 'Toronto', 'postalCode': 'M8V', 'formattedAddress': 'Toronto, ON M8V, Canada'}, 'coords': [-79.470934, 43.631566]}",0pxzPMVQTei-JqqSy512jg,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-09T13:22:00.000Z,36776-162,ushahidi,Humber River Needs Environmental Protection.,"[{'name': 'Healing', 'confidence': 1}]",2014-05-09 19:29:22.517101,Canada,ON,Toronto,Toronto,"Toronto, ON M8V, Canada",M8V,,"{'adminArea3': 'ON', 'adminArea1': 'Canada', 'adminArea4': 'Toronto', 'adminArea5': 'Toronto', 'postalCode': 'M8V', 'formattedAddress': 'Toronto, ON M8V, Canada'}","[-79.470934, 43.631566]",43.631566,-79.470934,Healing,,,en
2014-05-09 19:09:13.134728,"grateful thanks to our emergency services

Michael E ‏@Michael_60",2014-05-04T05:05:33.510845,,"{'addressComponents': {'adminArea3': 'VIC', 'adminArea1': 'Australia', 'adminArea5': 'Melbourne', 'streetAddress': 'Russell St', 'postalCode': '3000', 'formattedAddress': 'Russell St, Melbourne, VIC 3000'}, 'coords': [144.965268, -37.807825]}",Voy5N-D0R7Kdu7Wke6XShw,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-09T12:42:00.000Z,22736-4031,ushahidi,Emergency Fire Services,"[{'name': 'Twitter', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:13.134728,Australia,VIC,,Melbourne,"Russell St, Melbourne, VIC 3000",3000,Russell St,"{'adminArea3': 'VIC', 'adminArea1': 'Australia', 'adminArea5': 'Melbourne', 'streetAddress': 'Russell St', 'postalCode': '3000', 'formattedAddress': 'Russell St, Melbourne, VIC 3000'}","[144.965268, -37.807825]",-37.807825,144.965268,Twitter,Grateful!,,en
2014-05-09 19:09:12.384354,http://www.youtube.com/watch?v=S5Ykxm1K-oY,2014-05-04T05:05:28.808850,,"{'addressComponents': {'adminArea3': 'Scotland', 'adminArea1': 'United Kingdom', 'adminArea4': 'Dumfries and Galloway', 'formattedAddress': 'Dumfries and Galloway, United Kingdom'}, 'coords': [-3.435973, 55.378051]}",xKs_vw3ZSxq7SXQf39oCpQ,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-09T10:39:00.000Z,22736-4030,ushahidi,I love Tainan!,"[{'name': 'Random Acts of Kindness', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}, {'name': 'Thank You!', 'confidence': 1}]",2014-05-09 19:09:12.384354,United Kingdom,Scotland,Dumfries and Galloway,,"Dumfries and Galloway, United Kingdom",,,"{'adminArea3': 'Scotland', 'adminArea1': 'United Kingdom', 'adminArea4': 'Dumfries and Galloway', 'formattedAddress': 'Dumfries and Galloway, United Kingdom'}","[-3.435973, 55.378051]",55.378051,-3.435973,Random Acts of Kindness,Grateful!,Thank You!,en
2014-05-09 19:29:54.477891,Oak trim from retail counter top,2014-05-04T05:40:15.852644,,"{'addressComponents': {'adminArea3': 'ON', 'adminArea1': 'Canada', 'adminArea4': 'Toronto', 'adminArea5': 'Toronto', 'streetAddress': '177 Baldwin St', 'postalCode': 'M5T 1L9', 'formattedAddress': '177 Baldwin St, Toronto, ON M5T 1L9, Canada'}, 'coords': [-79.400419, 43.654797]}",yH8xr-2LR9KrgppzcZzFhA,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-09T10:35:00.000Z,44268-1031,ushahidi,Oak trim,"[{'name': 'Architectural Salvage & Building Materials', 'confidence': 1}]",2014-05-09 19:29:54.477891,Canada,ON,Toronto,Toronto,"177 Baldwin St, Toronto, ON M5T 1L9, Canada",M5T 1L9,177 Baldwin St,"{'adminArea3': 'ON', 'adminArea1': 'Canada', 'adminArea4': 'Toronto', 'adminArea5': 'Toronto', 'streetAddress': '177 Baldwin St', 'postalCode': 'M5T 1L9', 'formattedAddress': '177 Baldwin St, Toronto, ON M5T 1L9, Canada'}","[-79.400419, 43.654797]",43.654797,-79.400419,Architectural Salvage & Building Materials,,,en
2014-05-09 19:29:55.275946,Dumpster full of strip flooring,2014-05-04T05:40:23.932532,,"{'addressComponents': {'adminArea3': 'ON', 'adminArea1': 'Canada', 'adminArea4': 'Toronto', 'adminArea5': 'Toronto', 'streetAddress': '87 Concord Ave', 'postalCode': 'M6H 2P2', 'formattedAddress': '87 Concord Ave, Toronto, ON M6H 2P2, Canada'}, 'coords': [-79.424969, 43.657082]}",UiW0gZbIT1CsMQ1VlA-dnQ,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-09T08:33:00.000Z,44268-1030,ushahidi,Strip flooring,"[{'name': 'Wood', 'confidence': 1}, {'name': 'Architectural Salvage & Building Materials', 'confidence': 1}]",2014-05-09 19:29:55.275946,Canada,ON,Toronto,Toronto,"87 Concord Ave, Toronto, ON M6H 2P2, Canada",M6H 2P2,87 Concord Ave,"{'adminArea3': 'ON', 'adminArea1': 'Canada', 'adminArea4': 'Toronto', 'adminArea5': 'Toronto', 'streetAddress': '87 Concord Ave', 'postalCode': 'M6H 2P2', 'formattedAddress': '87 Concord Ave, Toronto, ON M6H 2P2, Canada'}","[-79.424969, 43.657082]",43.657082,-79.424969,Wood,Architectural Salvage & Building Materials,,en
2014-05-09 19:09:11.885906,"two-day clinic meets critical needs of dental patients of all ages by providing free dental care to as many adults and children as time, volunteers and supplies will allow.

""I can't expres the gratitude I feel for the life-changing treatment"" --patient",2014-05-04T05:05:31.161309,,"{'addressComponents': {'adminArea3': 'OK', 'adminArea1': 'United States', 'adminArea4': 'Oklahoma Co.', 'adminArea5': 'Oklahoma City', 'streetAddress': 'NE 13th St', 'postalCode': '73104', 'formattedAddress': 'NE 13th St, Oklahoma City, OK 73104'}, 'coords': [-97.507028, 35.482414]}",8LTV8jYSRge-TVEjOjH95A,"{'name': 'English', 'nativeName': 'English', 'code': 'en'}",unknown,temporary,2014-02-08T15:53:00.000Z,22736-4029,ushahidi,Oklahoma Mission of Mercy 2 day dental clinic,"[{'name': 'Twitter', 'confidence': 1}, {'name': 'Grateful!', 'confidence': 1}]",2014-05-09 19:09:11.885906,United States,OK,Oklahoma Co.,Oklahoma City,"NE 13th St, Oklahoma City, OK 73104",73104,NE 13th St,"{'adminArea3': 'OK', 'adminArea1': 'United States', 'adminArea4': 'Oklahoma Co.', 'adminArea5': 'Oklahoma City', 'streetAddress': 'NE 13th St', 'postalCode': '73104', 'formattedAddress': 'NE 13th St, Oklahoma City, OK 73104'}","[-97.507028, 35.482414]",35.482414,-97.507028,Twitter,Grateful!,,en
