,route_name,route_url
312,Northwest Corner,http://www.mountainproject.com/v/northwest-corner/105748145
313,Othello,http://www.mountainproject.com/v/othello/106500102
314,Right Crack,http://www.mountainproject.com/v/right-crack/105748084
315,Sleepy Hollow,http://www.mountainproject.com/v/sleepy-hollow/106973126
316,South Crack (Unknown),http://www.mountainproject.com/v/south-crack-unknown/106207839
317,Thunder Road,http://www.mountainproject.com/v/thunder-road/105764868
318,Under The Boardwalk,http://www.mountainproject.com/v/under-the-boardwalk/106636645
319,Unknown,http://www.mountainproject.com/v/unknown/105748108
320,West Cracks,http://www.mountainproject.com/v/west-cracks/105757096
321,West Dihedral,http://www.mountainproject.com/v/west-dihedral/105970053
322,West Rib,http://www.mountainproject.com/v/west-rib/105751789
323,Angry Dragon,http://www.mountainproject.com/v/angry-dragon/105763206
324,Another Way,http://www.mountainproject.com/v/another-way/105765156
325,"Badger Traverse, The",http://www.mountainproject.com/v/the-badger-traverse/106090776
326,"Bait, The",http://www.mountainproject.com/v/the-bait/105752374
327,Dampened Enthusiasm,http://www.mountainproject.com/v/dampened-enthusiasm/105754909
328,Der Letzte Zug,http://www.mountainproject.com/v/der-letzte-zug/105763947
329,Die Reeperbahn,http://www.mountainproject.com/v/die-reeperbahn/105885243
330,Feeding the Beast,http://www.mountainproject.com/v/feeding-the-beast/108023528
331,Fly Swatter,http://www.mountainproject.com/v/fly-swatter/105751642
332,Fly Trap,http://www.mountainproject.com/v/fly-trap/105754912
333,Gagger,http://www.mountainproject.com/v/gagger/105885250
334,Give the Dog a Bone,http://www.mountainproject.com/v/give-the-dog-a-bone/105754927
335,Joy Ride,http://www.mountainproject.com/v/joy-ride/105749548
336,Lucky Strikes Again,http://www.mountainproject.com/v/lucky-strikes-again/105758629
337,New Fanatic,http://www.mountainproject.com/v/new-fanatic/106087627
338,Pri-Moe,http://www.mountainproject.com/v/pri-moe/105758542
339,Prong,http://www.mountainproject.com/v/prong/105755368
340,Quintet,http://www.mountainproject.com/v/quintet/107488574
341,Red Badger,http://www.mountainproject.com/v/red-badger/105842563
342,Runaway,http://www.mountainproject.com/v/runaway/105764853
343,Twist and Shout,http://www.mountainproject.com/v/twist-and-shout/106120566
344,Work It On Out,http://www.mountainproject.com/v/work-it-on-out/106023280
345,Assault of the Earth,http://www.mountainproject.com/v/assault-of-the-earth/105750673
346,"Forgiven, The",http://www.mountainproject.com/v/the-forgiven/105750670
347,"Good Book, The",http://www.mountainproject.com/v/the-good-book/105750739
348,"Mustard Seed, The",http://www.mountainproject.com/v/the-mustard-seed/105748891
349,Repo Man,http://www.mountainproject.com/v/repo-man/105752068
350,Victory in de Feet,http://www.mountainproject.com/v/victory-in-de-feet/105750682
351,Couch Fire,http://www.mountainproject.com/v/couch-fire/105832580
352,Footstool,http://www.mountainproject.com/v/footstool/106861021
353,Loveseat,http://www.mountainproject.com/v/loveseat/106861060
354,Ottoman Empire,http://www.mountainproject.com/v/ottoman-empire/106861072
355,Recliner,http://www.mountainproject.com/v/recliner/106861030
356,Slachar Cracker,http://www.mountainproject.com/v/slachar-cracker/106669057
357,Sofa Mart,http://www.mountainproject.com/v/sofa-mart/106861045
358,Black Plague,http://www.mountainproject.com/v/black-plague/105763635
359,Cozy Overhang,http://www.mountainproject.com/v/cozy-overhang/105759333
360,Cozyhang,http://www.mountainproject.com/v/cozyhang/105748005
361,Cozyhang 10a Variation,http://www.mountainproject.com/v/cozyhang-10a-variation/105974318
362,Cozyhang Alt. Finish,http://www.mountainproject.com/v/cozyhang-alt-finish/108839003
363,Cozyhang Out,http://www.mountainproject.com/v/cozyhang-out/105959077
364,Direct,http://www.mountainproject.com/v/direct/106141626
365,Dome Girdle,http://www.mountainproject.com/v/dome-girdle/106120535
366,E of East Slab East,http://www.mountainproject.com/v/e-of-east-slab-east/105756454
367,"East Face, Far Right",http://www.mountainproject.com/v/east-face-far-right/105760317
368,"East Face, Farthest Right",http://www.mountainproject.com/v/east-face-farthest-right/108820722
369,East of the Sun,http://www.mountainproject.com/v/east-of-the-sun/105748008
370,East Slab,http://www.mountainproject.com/v/east-slab/105748011
371,East Slab East,http://www.mountainproject.com/v/east-slab-east/105827243
372,Evening Stroll,http://www.mountainproject.com/v/evening-stroll/106120485
373,Familiar Face,http://www.mountainproject.com/v/familiar-face/105974593
374,Gorilla's Delight,http://www.mountainproject.com/v/gorillas-delight/105754747
375,Groove,http://www.mountainproject.com/v/groove/105975409
376,Left Edge,http://www.mountainproject.com/v/left-edge/105751543
377,"Owl, The",http://www.mountainproject.com/v/the-owl/105748002
378,Pinnacle,http://www.mountainproject.com/v/pinnacle/105764871
379,Prelude to King Kong,http://www.mountainproject.com/v/prelude-to-king-kong/105747999
380,Pussy Cat,http://www.mountainproject.com/v/pussy-cat/105958819
381,Signs Of Life,http://www.mountainproject.com/v/signs-of-life/105759465
382,Super Squeeze,http://www.mountainproject.com/v/super-squeeze/105752110
383,"Umph Slot, The",http://www.mountainproject.com/v/the-umph-slot/105758578
